State,Surname,Title,First Name,Other Names,Preferred Name,Initials,Honorific,Gender,Political Party,ElectorateAddressLine1,ElectorateAddressLine2,ElectorateSuburb,ElectorateState,ElectoratePostCode,ElectorateTelephone,ElectorateFax,ElectorateTollFree,ElectoratePostAddress,ElectoratePostSuburb,ElectoratePostState,ElectoratePostPostCode,LabelAddress,LabelSuburb,LabelState,LabelPostCode,Parliamentary Title
ACT,Humphries,Senator,Gary,,Gary,G.,,MALE,LP,"Shop B12, Canberra Centre",Bunda Street,Canberra,ACT,2600,(02) 6247 6444,(02) 6257 4140,,,,,,"Shop B12, Canberra Centre, Bunda Street",Canberra,ACT,2600,
ACT,Lundy,Senator the Hon ,Kate,Alexandra,Kate,K. A.,,FEMALE,ALP,"Unit A, Ground Floor, Law Society Building",11 London Circuit,Canberra,ACT,2601,(02) 6230 0411,(02) 6230 0413,,,,,,"Unit A, Ground Floor, Law Society Building, 11 London Circuit",Canberra,ACT,2601,"Parliamentary Secretary to the Prime  Minister  & Parliamentary Secretary for Immigration and Multicultural Affairs
 Parliamentary Secretary for Immigration and  Citizenship
"
NSW,Arbib,Senator the Hon,Mark,Victor,Mark,M.V.,,MALE,ALP,"Level 8,  Commonwealth Parliament Offices",70 Phillip Street,Sydney,NSW,2000,(02) 9364 2600,(02) 9251 3767,,GPO Box 36,Sydney,NSW,2001,GPO Box 36,Sydney,NSW,2001,"Assistant Treasurer, Minister for Small Business, Minister for Sport, Manager of Government Business in the Senate"
NSW,Cameron,Senator,Douglas,Niven,Doug,D.N.,,MALE,ALP,"Unit 6, ","5 Raymond Road,",Springwood,NSW,2777,(02) 4751 4288,(02) 4751 3288,1300 226 005,PO Box 322,Springwood,NSW,2777,PO Box 322,Springwood,NSW,2777,
NSW,Faulkner,Senator the Hon,John,Philip,John,J. P.,,MALE,ALP,"Suite1, 1 Park Avenue",,Drummoyne,NSW,2047,(02) 9719 8100,(02) 9719 8078,1300 301 752,,,,,"Suite1, 1 Park Avenue",Drummoyne,NSW,2047,
NSW,Fierravanti-Wells,Senator,Concetta,,Concetta,C.,,FEMALE,LP,"Suite 1, Level 2,","6-8 Regent Street,",Wollongong,NSW,2500,(02) 4226 1700,(02) 4226 1733,1300 735 268,PO Box 886,Wollongong,NSW,2520,PO Box 886,Wollongong,NSW,2520,
NSW,Heffernan,Senator the Hon,William,,Bill,W.,,MALE,LP,"Suite 703, Westfield Towers",100 William Street,Sydney,NSW,2011,(02) 9357 2600,(02) 9357 2800,1300 301 796,,,,,"Suite 703, Westfield Towers, 100 William Street",Sydney,NSW,2011,
NSW,Nash,Senator,Fiona,,Fiona,F.,,FEMALE,Nats,79 Main Street,,Young,NSW,2594,(02) 6382 3400,(02) 6382 3499,,,,,,79 Main Street,Young,NSW,2594,Deputy Leader of The Nationals in the Senate 
NSW,Payne,Senator,Marise,Ann,Marise,M. A.,,FEMALE,LP,2-12 Macquarie Street,,Parramatta,NSW,2150,(02) 9687 8755,(02) 9687 8466 ,,PO Box 1420,Parramatta,NSW,2150,PO Box 1420,Parramatta,NSW,2150,
NSW,Rhiannon,Senator,Lee,,Lee,L.,,FEMALE,AG,72 Campbell Street,,Surry Hills,NSW,2010,(02) 9241 6966,(02) 9252 0180,,,,,,72 Campbell Street,Surry Hills,NSW,2010,
NSW,Sinodinos,Senator,Arthur,,Arthur,A.,,MALE,LP,"Angel Place,",123 Pitt Street,Sydney,NSW,2000,(02) 9223 4388,(02) 9223 4399 ,,,,,,"Angel Place, 123 Pitt Street",Sydney,NSW,2000,
NSW,Stephens,Senator the Hon,Ursula,,Ursula,U.,,FEMALE,ALP,91 Bourke Street,,Goulburn,NSW,2580,(02) 4822 8155,(02) 4822 8156,1300 301 987,PO Box 1112,Goulburn,NSW,2580,PO Box 1112,Goulburn,NSW,2580,
NSW,Thistlethwaite,Senator,Matthew,,Matt,M.,,MALE,ALP,"Commonwealth Parliamentary Offices, Suite 4, Level 12,",70 Phillip Street,Sydney,NSW,2000,(02)9241 7730,(02)9247 8387,,,,,,"Commonwealth Parliamentary Offices, Suite 4, Level 12, 70 Phillip Street,",Sydney,NSW,2000,
NSW,Williams,Senator,John,Reginal,John,J.R.,,MALE,Nats,144 Byron Street,,Inverell,NSW,2360,(02) 6721 4500,(02) 6721 4544,1300 301 815,,,,,144 Byron Street,,NSW,2360,The Nationals Whip in the Senate
NT,Crossin,Senator,Patricia,Margaret,Trish,P. M.,,FEMALE,ALP,25 Chung Wah Terrace,,Palmerston,NT,830,(08) 8931 0830,(08)8931 0513,1300 301 713,PO Box 946,Palmerston,NT,831,PO Box 946,Palmerston,NT,831,
NT,Scullion,Senator the Hon,Nigel,Gregory,Nigel,N. G.,,MALE,CLP,"Unit 1, 229 McMillans Road",,Jingili,NT,810,(08) 8948 3555,(08) 8948 3544,,,,,,"Unit 1, 229 McMillans Road",Jingili,NT,810,Deputy Leader of The Nationals
Qld,Boswell,Senator the Hon,Ronald,Leslie Doyle,Ronald,R. L. D.,,MALE,Nats,"Level 36, Waterfront Place",1 Eagle Street,Brisbane,Qld,4000,(07) 3001 8150,(07) 3001 8151, ,GPO Box 228,Brisbane,Qld,4001,GPO Box 228,Brisbane,QLD,4001,
Qld,Boyce,Senator,Suzanne,Kay,Sue,S. K.,,FEMALE,LP,349 Sandgate Road,,Albion,Qld,4010,(07) 3862 4044,(07) 3862 4244,,PO Box 143,Albion DC,Qld,4010,PO Box 143,Albion DC,QLD,4010,
Qld,Brandis,Senator the Hon,George,Henry,George,G. H.,SC,MALE,LP,"Suite 2, Level 36, Waterfront Place",1 Eagle Street,Brisbane,Qld,4000,(07) 3001 8180,(07) 3001 8181, ,GPO Box 228,Brisbane,Qld,4001,GPO Box 228,Brisbane,QLD,4001,Deputy Leader of the Opposition in the Senate
Qld,Furner,Senator,Mark,Lionel,Mark,M.L.,,MALE,ALP,"Suite 1,  Crossroads",470 Gympie Road,Strathpine,Qld,4500,(07) 3881 3710,(07) 3881 3755,1300 884 489,PO Box 2246,Strathpine,Qld,4500,PO Box 2246,Strathpine,QLD,4500,
Qld,Hogg,Senator the Hon,John,Joseph,John,J. J.,,MALE,ALP,876 Old Cleveland Road,,Carina,Qld,4152,(07) 3843 4066,(07) 3843 4077,,PO Box 615,Carina,Qld,4152,PO Box 615,Carina,QLD,4152,President of the Senate
Qld,Joyce,Senator,Barnaby,,Barnaby,B.,,MALE,Nats,68 St George's Terrace,,St George,Qld,4487,(07) 4625 1500,(07) 4625 1511,1300 668 135,PO Box 628,St George,Qld,4487,PO Box 628,St George,QLD,4487,Leader of The Nationals in the Senate
Qld,Ludwig,Senator the Hon,Joseph,William,Joe,J. W.,,MALE,ALP,"Waterfront Place,",1 Eagle Street,Brisbane,Qld,4000,(07) 3229 4477,(07) 3229 4140 ,1300 301 944,GPO Box 2477,Brisbane,Qld,4002,GPO Box 2477,Brisbane,QLD,4001,"Minister for Agriculture, Fisheries and Forestry; Minister assisting for Queensland Floods Recovery 
"
Qld,Macdonald,Senator the Hon,Ian,Douglas,Ian,I. D.,,MALE,LP,Level 1,131 Denham Street,Townsville,Qld,4810,(07) 4771 3066,(07) 4771 3411,1300 301 949,PO Box 2185,Townsville,Qld,4810,PO Box 2185,Townsville,QLD,4810,
Qld,McLucas,Senator the Hon,Jan,,Jan,J.,,FEMALE,ALP,MacDonnells Solicitors Building,Cnr Shields and Grafton Streets,Cairns,Qld,4870,(07) 4031 6009,(07) 4031 6167,1300 301 959,PO Box 2733,Cairns,Qld,4870,PO Box 2733,Cairns,QLD,4870,Parliamentary Secretary for Disabilities and  Carers
Qld,Mason,Senator the Hon,Brett,,Brett,B.,,MALE,LP,2166 Logan Road,,Upper Mount Gravatt,Qld,4122,(07) 3422 1990,(07) 3422 1991,1300 301 952,,,,,2166 Logan Road,Upper Mount Gravatt,QLD,4122,
Qld,Moore,Senator,Claire,Mary,Claire,C. M.,,FEMALE,ALP,"Suite 14 B, 1st Floor Brunswick Central",421 Brunswick Street,Fortitude Valley,Qld,4006,(07) 3252 7101,(07) 3252 8957,1300 301 879,"PO Box 907, Fortitude Valley Post Shop",Fortitude Valley,Qld,4006,"PO Box 907, Fortitude Valley Post Shop",Fortitude Valley,QLD,4006,
Qld,Waters,Senator,Larissa,Joy,L.J.,L.J.,,FEMALE,AG,"Commonwealth Parliamentary Offices, Suite 9,",1 Eagle Street,Brisbane,Qld,4000,(07) 3001 8120,(07) 3001 8128 ,,,,,,"Commonwealth Parliamentary Offices, Suite 9, 1 Eagle Street,",Brisbane,Qld,4000,
SA,Bernardi,Senator,Cory,,Cory,C.,,MALE,LP,36 Grenfell Street,,Kent Town ,SA,5067,(08) 8362 8600,(08) 8362 8579 ,1300 301 647,,,,,36 Grenfell Street,Kent Town ,SA,5067,
SA,Birmingham,Senator,Simon,John,Simon,S. J.,,MALE,LP,61 Henley Beach Road,,Mile End,SA,5031,(08) 8354 1644,(08) 8354 1655,1300 301 638,,,,,61 Henley Beach Road,Mile End,SA,5031,
SA,Edwards ,Senator,Sean,,Sean,S.,,MALE,LP,Commonwealth Parliament Offices,"Level 13, 100 King William Street,",Adelaide,SA,5000,(08) 8205 1070,(08) 8205 1075,,,,,,"Commonwealth Parliament Offices,Level 13, 100 King William Street,",Adelaide,SA,5000,
SA,Farrell,Senator the Hon,Donald,Edward,Don,D.E.,,MALE,ALP,Wave Building,"Level 5, 19 Gillies Street",Adelaide,SA,5000,(08)  8231 8400,(08) 8211 7933,,PO Box 6338,Halifax Street,SA,5000,PO Box 6338,Halifax Street,SA,5000,Parliamentary Secretary for Sustainability and Urban Water
SA,Fawcett,Senator,David,Julian,David,D.J.,,MALE,LP,"Commonwealth Parliament Offices, Suite 4, Level 13, ",100 King William Street,Adelaide,SA,5000,(08) 8205 1040,(08) 8205 1045 ,,,,,,"Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street",Adelaide,SA,5000,
SA,Fisher,Senator,Mary,Josephine,Mary Jo,M. J.,,FEMALE,LP,187 Grenfell Street,,Adelaide,SA,5000,(08) 8223 1757,(08) 8223 1750,1300 857 022,,,,,187 Grenfell Street,Adelaide,SA,5000,
SA,Gallacher,Senator,Alexander,McEachian,Alex,A.M.,,MALE,ALP,3/69 Fullarton Road,,Kent Town ,SA,5067,(08) 8431 1755,(08) 8431 1622,,,,,,3/69 Fullarton Road,Kent Town ,SA,5067,
SA,Hanson-Young,Senator,Sarah,Coral,Sarah,S.C.,,FEMALE,AG,Level 7,147 Pirie Street,Adelaide,SA,5000,(08)8227 0425,(08) 8227 0426,,,,,,"Level 7, 147 Piries Street",Adelaide,SA,5000,
SA,McEwen,Senator,Anne,,Anne,A.,,FEMALE,ALP,Ground Floor,101 Henley Beach Road,Mile End ,SA,5031,(08) 8352 7477,(08) 8234 1165,1300 889 477,PO Box 55,Torrensville Plaza,SA,5031,PO Box 55,Torrensville Plaza,SA,5031,Government Whip in the Senate
SA,Wong,Senator the Hon,Penny,,Penny,P.,,FEMALE,ALP,Level 4,19 Gouger Street,Adelaide,SA,5000,(08) 8212 8272,(08) 8212 8273,1300 301 698,"PO Box 6237, Halifax Street",Adelaide,SA,5000,"PO Box 6237, Halifax Street",Adelaide,SA,5000,Minister for Finance and Deregulation
SA,Wright,Senator,Penelope,Lesley,Penny,P.L.,,FEMALE,AG,"Suite 6, Level 12, ",100 King William Street ,Adelaide,SA,5000,(08) 8205 1060,(08) 8205 1069 ,,,,,,"Suite 6, Level 12, 100 King William Street ",,,,
SA,Xenophon,Senator,Nicholas,,Nick,N.,,MALE,Ind.,"Level 2, ",31 Ebenezer Place,Adelaide,SA,5000,(08) 8232 1144,(08) 8232 3744,1300 556 115,,,,,212 Grenfell Street 5000,Adelaide,SA,5000,
Tas,Abetz,Senator the Hon,Eric,,Eric,E.,,MALE,LP,Highbury House,136 Davey Street,Hobart,Tas,7000,(03) 6224 3707,(03) 6224 3709,1300 132 493,GPO Box 1675,Hobart,Tas,7001,GPO Box 1675,Hobart,TAS,7001,Leader of the Opposition in the Senate
Tas,Bilyk,Senator,Catryna,Louise,Catryna,C.L.,,FEMALE,ALP,"Shop 3, Kingston Plaza",20 Channel Highway,Kingston,Tas,7050,(03) 6229 4444,(03) 6229 4100,1300 855 225,PO Box 320,Kingston,Tas,7051,PO Box 320,Kingston,TAS,7051,
Tas,Brown,Senator,Carol,Louise,Carol,C. L.,,FEMALE,ALP,"AMP Building, Ground Floor,","27 Elizabeth Street,",Hobart,Tas,7001,(03) 6231 0099,(03) 6231 3099,1300 301 532,GPO Box 376,Hobart,Tas,7001,GPO Box 376,Hobart,TAS,7001,Deputy Government Whip in the Senate
Tas,Brown,Senator,Robert,James,Bob,R. J.,,MALE,AG,"Level 1, Murray Street Pier",Murray Street,Hobart,Tas,7000,(03) 6224 3222,(03) 6224 2999,,GPO  Box 404,Hobart,Tas,7001,GPO  Box 404,Hobart,TAS,7001,Leader of the Australian Greens
Tas,Bushby,Senator,David,Christopher,David,D. C,,MALE,LP,"Level 2,","18 Ross Avenue,",Rosny Park,Tas,7018,(03) 6244 8533,(03) 6244 8521,1300 134 468,PO Box 429,Rosny Park,Tas,7018,PO Box 429,Rosny Park,TAS,7018,Deputy Opposition Whip in the Senate
Tas,Colbeck,Senator the Hon,Richard,,Richard,R.,,MALE,LP,5-7 Best Street,,Devonport,Tas,7310,(03) 6424 5960,(03) 6423 5244,,PO Box 603,Devonport,Tas,7310,PO Box 603,Devonport,TAS,7310,
Tas,Milne,Senator,Christine,,Christine,C.,,FEMALE,AG,"Level 1, Murray Street Pier",Murray Street,Hobart,Tas,7000,(03) 6224 8899,(03) 6224 7599,1300 131 720,GPO Box 896,Hobart,Tas,7001,GPO Box 896,Hobart,TAS,7001,Deputy Leader of the Australian Greens
Tas,Parry,Senator,Stephen,,Stephen,S.,,MALE,LP,33 George Street,,Launceston,Tas,7250,(03) 6334 1624 ,(03) 6431 7455,1300 760 788,,,,,33 George Street,Launceston,TAS,7250,Deputy President and Chairman of Committees
Tas,Polley,Senator,Helen,,Helen,H.,,FEMALE,ALP,"""The Charles"", Suite 101, ",287 Charles Street,Launceston,Tas,7250,(03) 6331 2599,(03) 6331 2588,1300 134 923,PO Box 1223,Launceston,Tas,7250,PO Box 1223,Launceston,TAS,7250,Deputy Government Whip in the Senate
Tas,Singh,Senator the Hon,Lisa,Maria,Lisa,L.M.,,FEMALE,ALP,152 Macquarie Street,,Hobart,Tas,7000,(03) 6223 1135,(03) 6223 1250,,,,,, 152 Macquarie Street,Hobart,Tas,7000,
Tas,Sherry,Senator the Hon,Nicholas,John,Nick,N. J.,,MALE,ALP,Upper Level,69 Best Street,Devonport,Tas,7310,(03)  6424 8241,(03) 6424 8555,1300 135 498,PO Box 858,Devonport,Tas,7310,PO Box 858,Devonport,TAS,7310,
Tas,Urquhart,Senator,Anne,Elizabeth,Anne,A.E.,,FEMALE,ALP,Ground Floor,69 Best Street ,Devonport,Tas,7310,(03) 6423 1933,(03) 6423 3544,,,,,,"Ground Floor, 69 Best Street ",Devonport,Tas,7310,
Vic,Carr,Senator the Hon,Kim,John,Kim,K. J.,,MALE,ALP,62 Lygon Street,,Carlton South,Vic,3053,(03) 9639 2798,(03) 9639 3109,,,,,,62 Lygon Street,Carlton South,VIC,3053,"Minister for Manufacturing, Minister for Defence Materiel"
Vic,Collins,Senator the Hon,Jacinta,Mary Ann,Jacinta,J. M. A.,,FEMALE,ALP,Ground Floor,1013 Whitehorse Road,Box Hill,Vic,3128,(03) 9890 7022,(03) 9890 7122,,,,,,"Ground Floor, 1013 Whitehorse Road",Box Hill,VIC,3128,Parliamentary Secretary for School Education and Workplace Relations 
Vic,Conroy,Senator the Hon,Stephen,Michael,Stephen,S. M.,,MALE,ALP,17 Mason Street,,Newport,Vic,3015,(03) 9391 4952,(03) 9391 5451 ,1300 131 546,PO Box 3162,Newport,Vic,3015,PO Box 3162,Newport,VIC,3015,"Minister for Broadband, Communications and the Digital Economy, Deputy Leader of the Government in the Senate"
Vic,Di Natale,Senator,Richard,,Richard,R.,,MALE,AG,"Level 9,","601 Bourke Street,",Melbourne ,Vic,3000,(03) 9620-2966 ,(03) 9620-4511 ,1300 883 502 ,,,,,"Level 9, 601 Bourke Street,",Melbourne,Vic,3000,
Vic,Feeney,Senator the Hon,David,Ian,David,D.I.,,MALE,ALP,240 Sydney Road,,Coburg,Vic,3058,(03)9384 6077,(03) 9650 5593,1300 309 624,,,,,240 Sydney Road,Coburg,Vic,3058,Parliament Secretary for Defence
Vic,Fifield,Senator,Mitchell,Peter,Mitch,M. P.,,MALE,LP,42 Florence Street,,Mentone,Vic,3194,(03) 9584 2455,(03) 9584 8347,1300 797 110,,,,,42 Florence Street,Mentone,VIC,3194,Manager of Opposition Business in the Senate 
Vic,Kroger,Senator,Helen,,Helen,H.,,FEMALE,LP,"Shop 3,",10-40 Burwood Highway,Burwood East,Vic,3151,(03) 9888 0091,(03) 9888 0107,,PO Box 8154,Burwood East,Vic,3151,PO Box 8154,Burwood East,VIC,3151,Chief Opposition Whip in the Senate
Vic,McKenzie,Senator,Bridget,,Bridget,B.,,FEMALE,Nats,188-190 High Street,,Bendigo,Vic,3550,(03) 5441 4251,(03) 5441 4260 ,,,,,,188-190 High Street,Bendigo,Vic,3550,
Vic,Madigan,Senator,John,Joseph,John,J.J.,,MALE,DLP,17 Albert Street,,Ballarat ,Vic,3350,(03)5331 2321,(03) 5331 2476 ,,,,,,17 Albert Street,Ballarat ,Vic,3350,
Vic,Marshall,Senator,Gavin,Mark,Gavin,G. M.,,MALE,ALP,376 Victoria Street,,North Melbourne,Vic,3051,(03) 9348 9699,(03) 9348 9837,,,,,,376 Victoria Street,North Melbourne,VIC,3051,
Vic,Ronaldson,Senator the Hon,Michael,,Michael,M.,,MALE,LP,Level 17,90 Collins Street,Melbourne ,Vic,3000,(03) 9650 0255,(03) 9650 9031,,,,,,"Level 17, 90 Collins Street", Melbourne ,Vic,3000,
Vic,Ryan,Senator,Scott,Michael,Scott,S.M.,,MALE,LP,12 Pascoe Vale Road,,Moonee Ponds,Vic,3039,(03) 9326 1088,(03) 9370 9120,,PO Box 556,Moonee Ponds,Vic,3039,PO Box 556,Moonee Ponds,VIC,3039,
WA,Adams,Senator,Judith,,Judith,J.,,FEMALE,LP,48 Ventnor Avenue,,West Perth,WA,6005,(08) 9481 0349,(08) 9321 4876,1300 301 849,PO Box 930,West Perth,WA,6872,PO Box 930,West Perth,WA,6872,Deputy Opposition Whip in the Senate
WA,Back,Senator,Christopher,John,Chris,C. J.,,MALE,LP,89 Aberdeen Street,,Northbridge,WA,6003,(08)9328 36880,(08)9328 3900,1300 301 846,PO Box 143,Northbridge,WA,6865,PO Box 143,Northbridge,WA,6865,
WA,Bishop,Senator,Thomas,Mark,Mark,T. M.,,MALE,ALP,Suite 31,443 Albany Highway,Victoria Park,WA,6100,(08) 9472 6177,(08) 9472 6200,1300 301 726,PO Box 571,Victoria Park,WA,6979,PO Box 571,Victoria Park,WA,6979,
WA,Cash,Senator,Michaelia,Clare,Michaelia,M.C.,,FEMALE,LP,44 Outram Street,, West Perth,WA,6005,(08) 9226 2000,(08) 9226 2211 ,,PO Box 1966,West Perth,WA,6872,PO Box 1966,West Perth,WA,6872,
WA,Cormann,Senator,Mathias,,Mathias,M.,,MALE,LP,"Level 38, Exchange Plaza",2 The Esplanade,Perth,WA,6000,(08) 9325 4227,(08) 9325 6857,1300 301 728,GPO Box B58,Perth,WA,6838,GPO Box B58,Perth,WA,6838,
WA,Eggleston,Senator,Alan,,Alan,A.,,MALE,LP,26 Charles Street,,South Perth,WA,6151,(08) 9368 6633,(08) 9368 6699,1300 301 845,PO Box 984,South Perth,WA,6951,PO Box 984,South Perth,WA,6951,
WA,Evans,Senator the Hon,Christopher,Vaughan,Christopher,C. V.,,MALE,ALP,51 Ord Street,,West Perth,WA,6005,(08) 9481 4844,(08) 9481 4244,1300 655 388,PO Box 1322,West Perth,WA,6872,PO Box 1322,West Perth,WA,6872,"Minister for Tertiary Education, Skills, Science and Research
Leader of the Government in the Senate

 Leader of the Government in the Senate
"
WA,Johnston,Senator the Hon,David,,David,D.,,MALE,LP,183 Great Eastern Highway,,Belmont,WA,6104,(08) 9478 2088,(08) 9478 1746,,,,,,183 Great Eastern Highway,Belmont,WA,6104,
WA,Ludlam,Senator,Scott,,Scott,S.,,MALE,AG,8 Cantonment Street,,Fremantle,WA,6160,(08) 9335 7477,(08) 9335 7499 ,1300 733 450,,,,,8 Cantonment Street,Fremantle,WA,6160,
WA,Pratt,Senator,Louise,Clare,Louise,L.C.,,FEMALE,ALP,81 Bennett Street,,East Perth,WA,6004,(08) 9225 4411,(08) 9225 7677 ,1300 301 874,PO Box 6120,East Perth,WA,6892,PO Box 6120,East Perth,WA,6892,
WA,Siewert,Senator,Rachel,,Rachel,R.,,FEMALE,AG,"Unit 1, 151 Brisbane Street",,Northbridge,WA,6003,(08) 9228 3277,(08) 9228 4055,1300 881 218,,,,,"Unit 1, 151 Brisbane Street",Northbridge,WA,6003,Australian Greens Whip
WA,Sterle,Senator,Glenn,,Glenn,G.,,MALE,ALP,6a Market City,280 Ranford Road,Canning Vale,WA,6155,(08) 9455 1420,(08) 9455 1421,1300 666 494,"Mailpoint 22, Market City, 280 Bannister Road",Canning Vale,WA,6155,"Mailpoint 22, Market City, 280 Bannister Road",Canning Vale,WA,6155,
